stock.id,species,stock.name,lat,lon,ocean.basin,state,begin,end,n.years,max.spawners,max.recruits,contact ,comments,source,comments
268,Chinook,Entiat River-Chinook,46.2508,-124.0143,WC,WA,1960,2007,48,1489,2397,,,"Curry Cunningham/Brian Burke, 2022",NA
269,Chinook,Grande Ronde River Upper Mainstem-Chinook,46.2508,-124.0143,WC,WA,1955,2007,53,1029,2399,,,"Curry Cunningham/Brian Burke, 2022",NA
270,Chinook,Imnaha River Mainstem-Chinook,46.2508,-124.0143,WC,WA,1956,2007,52,6267,5254,,,"Curry Cunningham/Brian Burke, 2022",NA
271,Chinook,Lemhi River-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,3658,9378,,,"Curry Cunningham/Brian Burke, 2022",NA
272,Chinook,Loon Creek-Chinook,46.2508,-124.0143,WC,WA,1957,2008,38,1090,2163,,,"Curry Cunningham/Brian Burke, 2022",NA
273,Chinook,Marsh Creek-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,1845,3952,,,"Curry Cunningham/Brian Burke, 2022",NA
274,Chinook,Methow River-Chinook,46.2508,-124.0143,WC,WA,1960,2008,49,10971,11778,,,"Curry Cunningham/Brian Burke, 2022",NA
275,Chinook,Middle Fork Salmon River Lower Mainstem-Chinook,46.2508,-124.0143,WC,WA,1957,2008,35,246,369,,,"Curry Cunningham/Brian Burke, 2022",NA
276,Chinook,Middle Fork Salmon River Upper Mainstem-Chinook,46.2508,-124.0143,WC,WA,1957,2008,29,1814,2971,,,"Curry Cunningham/Brian Burke, 2022",NA
277,Chinook,Minam River-Chinook,46.2508,-124.0143,WC,WA,1956,2007,52,4104,3686,,,"Curry Cunningham/Brian Burke, 2022",NA
278,Chinook,Salmon River Lower Mainstem-Chinook,46.2508,-124.0143,WC,WA,1957,2008,45,4888,3300,,,"Curry Cunningham/Brian Burke, 2022",NA
279,Chinook,Salmon River Upper Mainstem-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,4612,6334,,,"Curry Cunningham/Brian Burke, 2022",NA
280,Chinook,Secesh River-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,1759,3006,,,"Curry Cunningham/Brian Burke, 2022",NA
281,Chinook,South Fork Salmon River-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,6310,9832,,,"Curry Cunningham/Brian Burke, 2022",NA
282,Chinook,Sulphur Creek-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,693,1399,,,"Curry Cunningham/Brian Burke, 2022",NA
283,Chinook,Tucannon River-Chinook,46.2508,-124.0143,WC,WA,1980,2006,27,852,1635,,,"Curry Cunningham/Brian Burke, 2022",NA
284,Chinook,Valley Creek-Chinook,46.2508,-124.0143,WC,WA,1957,2008,52,1431,2895,,,"Curry Cunningham/Brian Burke, 2022",NA
285,Chinook,Wallowa/Lostine Rivers-Chinook,46.2508,-124.0143,WC,WA,1959,2007,49,1585,4813,,,"Curry Cunningham/Brian Burke, 2022",NA
286,Chinook,Wenaha River-Chinook,46.2508,-124.0143,WC,WA,1963,2007,45,2682,4467,,,"Curry Cunningham/Brian Burke, 2022",NA
287,Chinook,Wenatchee River-Chinook,46.2508,-124.0143,WC,WA,1960,2007,48,6718,11039,,,"Curry Cunningham/Brian Burke, 2022",NA
288,Chinook,Yankee Fork-Chinook,46.2508,-124.0143,WC,WA,1960,2008,42,1934,2859,,,"Curry Cunningham/Brian Burke, 2022",NA
289,Chinook,Cedar River-Chinook,47.5039,-122.2169,WC,WA,1965,2010,46,2223,6753,,,"Curry Cunningham/Brian Burke, 2022",NA
290,Chinook,Green River-Chinook,47.5925,-122.36,WC,WA,1968,2011,44,11569,41177,,,"Curry Cunningham/Brian Burke, 2022",NA
291,Chinook,Lower Sauk River-Chinook,48.3677,-122.5141,WC,WA,1952,2010,59,3991,26076,,,"Curry Cunningham/Brian Burke, 2022",NA
292,Chinook,Lower Skagit River-Chinook,48.3677,-122.5141,WC,WA,1952,2010,59,9328,57603,,,"Curry Cunningham/Brian Burke, 2022",NA
293,Chinook,Mid-Hood Canal-Chinook,47.6393,-122.9299,WC,WA,1968,2010,43,1773,19355,,,"Curry Cunningham/Brian Burke, 2022",NA
294,Chinook,Nisqually River-Chinook,47.0996,-122.7029,WC,WA,1968,2010,43,3527,31559,,,"Curry Cunningham/Brian Burke, 2022",NA
295,Chinook,North Fork Stillaguamish River-Chinook,48.2465,-122.3957,WC,WA,1974,2010,37,1849,94076,,,"Curry Cunningham/Brian Burke, 2022",NA
296,Chinook,Puyallup River-Chinook,47.2472,-122.4289,WC,WA,1968,2011,44,5369,19442,,,"Curry Cunningham/Brian Burke, 2022",NA
297,Chinook,Skokomish River-Chinook,47.3436,-123.1212,WC,WA,1968,2010,43,3193,13853,,,"Curry Cunningham/Brian Burke, 2022",NA
298,Chinook,Skykomish River-Chinook,48.0206,-122.2122,WC,WA,1965,2010,46,7703,103029,,,"Curry Cunningham/Brian Burke, 2022",NA
299,Chinook,Snoqualmie River-Chinook,48.0206,-122.2122,WC,WA,1965,2010,46,3726,9412,,,"Curry Cunningham/Brian Burke, 2022",NA
300,Chinook,South Fork Stillaguamish River-Chinook,48.2465,-122.3957,WC,WA,1974,2010,37,391,14690,,,"Curry Cunningham/Brian Burke, 2022",NA
301,Chinook,Suiattle River-Chinook,48.3677,-122.5141,WC,WA,1952,2003,52,1807,9369,,,"Curry Cunningham/Brian Burke, 2022",NA
302,Chinook,Upper Sauk River-Chinook,48.3677,-122.5141,WC,WA,1952,2010,59,3425,22302,,,"Curry Cunningham/Brian Burke, 2022",NA
303,Chinook,Upper Skagit River-Chinook,48.3677,-122.5141,WC,WA,1952,2010,59,21183,111273,,,"Curry Cunningham/Brian Burke, 2022",NA
304,Chinook,White River-Chinook,47.2472,-122.4289,WC,WA,1965,2011,47,10734,7544,,,"Curry Cunningham/Brian Burke, 2022",NA
305,Chinook,Clackamas River-Chinook,46.2508,-124.0143,WC,OR,1974,2002,29,5592,11616,,,"Curry Cunningham/Brian Burke, 2022",NA
306,Chinook,Coweeman River-Chinook,46.2508,-124.0143,WC,OR,1964,2008,45,2549,4360,,,"Curry Cunningham/Brian Burke, 2022",NA
307,Chinook,Elochoman River-Chinook,46.2508,-124.0143,WC,OR,1964,2008,45,7893,15888,,,"Curry Cunningham/Brian Burke, 2022",NA
308,Chinook,Grays and Chinook Rivers-Chinook,46.2508,-124.0143,WC,OR,1964,2008,45,2685,5258,,,"Curry Cunningham/Brian Burke, 2022",NA
309,Chinook,Kalama River-Chinook,46.2508,-124.0143,WC,OR,1964,2008,45,24710,45859,,,"Curry Cunningham/Brian Burke, 2022",NA
310,Chinook,Lewis River Fall-run-Chinook,46.2508,-124.0143,WC,OR,1964,2008,45,2142,2449,,,"Curry Cunningham/Brian Burke, 2022",NA
311,Chinook,Lewis River Late fall-Chinook,46.2508,-124.0143,WC,OR,1964,2007,44,20058,37150,,,"Curry Cunningham/Brian Burke, 2022",NA
312,Chinook,Lower Cowlitz River-Chinook,46.2508,-124.0143,WC,OR,1964,2007,44,22758,43359,,,"Curry Cunningham/Brian Burke, 2022",NA
313,Chinook,McKenzie River-Chinook,46.2508,-124.0143,WC,OR,1970,2008,39,7795,13311,,,"Curry Cunningham/Brian Burke, 2022",NA
314,Chinook,Toutle River-Chinook,46.2508,-124.0143,WC,OR,1964,2008,32,13943,16811,,,"Curry Cunningham/Brian Burke, 2022",NA
315,Chinook,Upper Gorge Tributaries-Chinook,46.2508,-124.0143,WC,OR,1964,2003,40,1801,3004,,,"Curry Cunningham/Brian Burke, 2022",NA
316,Chinook,White Salmon River-Chinook,46.2508,-124.0143,WC,OR,1965,2003,39,11480,14887,,,"Curry Cunningham/Brian Burke, 2022",NA
317,Coho,Clackamas River-Coho,46.2508,-124.0143,WC,OR,1968,2010,43,14335,25697,,,"Curry Cunningham/Brian Burke, 2022",NA
318,Coho,Sandy River-Coho,46.2508,-124.0143,WC,OR,1974,2010,34,2558,7972,,,"Curry Cunningham/Brian Burke, 2022",NA
319,Coho,OCN Rivers-Coho,44.6175,-124.1093,WC,OR,1970,2014,45,330000,451152,,,"Curry Cunningham/Brian Burke, 2022",NA
320,Coho,OCN Lakes-Coho,44.6175,-124.1093,WC,OR,1970,2014,45,38700,171785,,,"Curry Cunningham/Brian Burke, 2022",NA
321,Coho,Clackamas River Early-Coho,46.2508,-124.0143,WC,OR,1973,2014,42,6940,7968,,,"Curry Cunningham/Brian Burke, 2022",NA
322,Coho,Clackamas River Late-Coho,46.2508,-124.0143,WC,OR,1973,2011,39,3067,11522,,,"Curry Cunningham/Brian Burke, 2022",NA
243,Coho,Buskin River-Coho,57.75812,-152.4784,GOA,AK,1989,2010,22,16235,21379,,,"Fishery Manuscript Series No. 16-09: Review of Salmon Escapement Goals in the Kodiak Management Area, 2016",NA
244,Coho,Kuskokwim River-Coho,61.10037,-160.9961,BS,AK,2000,2006,7,2375943,1752922,,,"Fishery Data Series No. 15-18:Â Estimates of the Historic Run and Escapement for the Coho Salmon Stock Returning to the Kuskokwim River, 2000â€“2012Â ",NA
245,Coho,Auke Creek-Coho,58.38052,-134.6419,GOA,AK,1980,1986,7,942,2006,,,"Escapement Goals for Coho Salmon Stocks Returning to Berners River, Auke Creek, Ford Arm Lake, and Hugh Smith Lake in Southeast Alaska",NA
246,Coho,Berners River-Coho,58.8464,-134.97,GOA,AK,1982,2010,27,41089,60491,,,Leon Shaul; RIR.1J.1994.26,NA
247,Coho,Ford Arm Lake-Coho,57.58192,-135.9153,GOA,AK,1982,1986,4,2662,5545,,,"Escapement Goals for Coho Salmon Stocks Returning to Berners River, Auke Creek, Ford Arm Lake, and Hugh Smith Lake in Southeast Alaska",NA
248,Coho,Hugh Smith Lake-Coho,55.09855,-130.6461,GOA,AK,1982,1986,5,2144,3698,,,"Escapement Goals for Coho Salmon Stocks Returning to Berners River, Auke Creek, Ford Arm Lake, and Hugh Smith Lake in Southeast Alaska",NA
249,Coho,Akwe River-Coho,59.2929349,-139.09307,GOA,AK,1972,1986,15,15000,31283,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
250,Coho,East Alsek River-Coho,59.10379,-138.5086,GOA,AK,1972,1988,17,13000,44378,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
251,Coho,Italio River-Coho,59.3129858,-139.15364,GOA,AK,1972,1988,16,8000,20955,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
252,Coho,Kaliakh River-Coho,60.0873,-142.9378,GOA,AK,1973,1988,12,37500,62664,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
253,Coho,Lost River-Coho,59.45382,-139.6239,GOA,AK,1972,1988,17,10400,35361,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
254,Coho,Situk River-Coho,59.44609,-139.5678,GOA,AK,1972,1988,17,14000,145631,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
255,Coho,Tsiu River-Coho,60.0777512,-143.09116,GOA,AK,1973,1988,16,52350,158677,,,Escapement Goals for Yakutat Area Coho Salmon Stocks,NA
256,Coho,Middle_Fraser-Coho,49.12,-123.06,WC,BC,1998,2016,19,13600,13251,,,"Michael Arbeider, DFO, 2022",NA
257,Coho,Fraser_Canyon-Coho,49.12,-123.06,WC,BC,1998,2016,19,5971,6684,,,"Michael Arbeider, DFO, 2022",NA
258,Coho,Lower_Thompson-Coho,49.12,-123.06,WC,BC,1998,2016,19,16053,15582,,,"Michael Arbeider, DFO, 2022",NA
259,Coho,North_Thompson-Coho,49.12,-123.06,WC,BC,1998,2016,19,27238,26750,,,"Michael Arbeider, DFO, 2022",NA
260,Coho,South_Thompson-Coho,49.12,-123.06,WC,BC,1998,2016,19,15850,17619,,,"Michael Arbeider, DFO, 2022",NA
